detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879531	23208	54319	41	5,75	0	2022-07-13 10:47:39.597
879532	23208	54319	41	5,71	0	2022-07-13 10:47:44.627
879533	23208	54319	41	5,74	0	2022-07-13 10:47:49.643
879534	23208	54319	41	5,76	0	2022-07-13 10:47:54.660
879535	23208	54319	41	5,71	1	2022-07-13 10:47:59.707
879536	23208	54319	41	5,67	0	2022-07-13 10:48:04.707
879537	23208	54319	42	5,71	0	2022-07-13 10:48:09.737
879538	23208	54319	41	5,73	1	2022-07-13 10:48:14.753
879539	23208	54319	41	5,73	0	2022-07-13 10:48:19.783
879540	23208	54319	41	5,71	0	2022-07-13 10:48:24.800
879541	23208	54319	41	5,67	0	2022-07-13 10:48:29.830
879542	23208	54319	41	5,79	1	2022-07-13 10:48:34.847
879543	23208	54319	41	5,69	0	2022-07-13 10:48:39.880
879544	23208	54319	41	5,69	1	2022-07-13 10:48:44.893
879545	23208	54319	41	5,66	0	2022-07-13 10:48:49.957
879546	23208	54319	42	5,72	1	2022-07-13 10:48:54.973
879547	23208	54319	41	5,71	0	2022-07-13 10:48:59.990
879548	23208	54319	41	5,73	1	2022-07-13 10:49:05.003
879549	23208	54319	42	5,74	1	2022-07-13 10:49:10.037
879550	23208	54319	41	5,7	1	2022-07-13 10:49:15.050
879551	23208	54319	41	5,71	0	2022-07-13 10:49:20.300
879552	23208	54319	41	5,67	1	2022-07-13 10:49:25.113
879553	23208	54319	41	5,73	0	2022-07-13 10:49:30.143
879554	23208	54319	41	5,73	0	2022-07-13 10:49:35.160
879555	23208	54319	41	5,72	0	2022-07-13 10:49:40.193
879556	23208	54319	42	5,71	0	2022-07-13 10:49:45.207
879557	23208	54319	42	5,71	0	2022-07-13 10:49:50.240
879558	23208	54319	42	5,68	1	2022-07-13 10:49:55.253
879559	23208	54319	41	5,68	0	2022-07-13 10:50:00.270
879560	23208	54319	41	5,68	0	2022-07-13 10:50:05.300
879561	23208	54319	41	5,71	0	2022-07-13 10:50:10.333
879562	23208	54319	41	5,69	0	2022-07-13 10:50:15.350
879563	23208	54319	41	5,7	0	2022-07-13 10:50:20.397
879564	23208	54319	41	5,68	0	2022-07-13 10:50:25.410
879565	23208	54319	42	5,72	0	2022-07-13 10:50:30.430
879566	23208	54319	41	5,74	0	2022-07-13 10:50:35.460
